noc,x,y
FIN,3.4453577862447275,-3.2250868319571517
NOR,4.389130249780477,-1.2747043074302535
NED,5.405477883307441,6.90931366995938
FRA,11.670508871807,3.9502028092372443
ITA,9.029989441399875,3.625192357949021
ESP,0.5657949611851989,1.991914223552075
RUS,19.378077216781982,-4.0779692492631305
BLR,-0.9644658927792027,0.007924084389657816
CMR,-1.7829965234379113,-0.22238192505772034
USA,27.395858380369248,-12.533374082660881
HUN,7.13204938502495,1.3331484344021702
GRE,0.15920522791359054,-0.41238321580691273
AUS,7.509969717632607,4.662204918703765
IRI,-1.2656043520621607,-1.1293442904918525
CAN,4.314391337503549,1.0533886174416631
PAK,-1.1915399307410786,2.0329605387053764
AZE,-1.5631071025561096,-0.701316149156297
TJK,-2.094075295354338,-0.1393524357929827
ETH,-1.7670085700693765,-0.424991653016178
SUI,1.9029542305069984,-0.742385287321363
GER,23.316440610590515,9.445995473621267
SWE,9.15362370015107,-2.456408033830087
RSA,-1.219748557980662,0.017083672320237418
TUR,-0.9711040369029377,-1.5948896779599837
BUL,0.9279693865784288,-1.1315138735533374
EGY,-1.974532377651185,-0.20544855168397766
GBR,14.506534352991418,3.6992698109416104
JPN,2.6377660595395183,-2.3914189579188827
ROU,3.6510907768626986,0.11982818604721844
MEX,-1.6643650337490907,-0.2755187048759347
GHA,-1.8318570127151568,0.16432793953925243
NZL,-0.0001437816767532775,0.8453605332749632
ARG,0.010149003844844287,1.3525662316590097
POL,2.301127919967597,0.7202917027515077
NGR,-1.1811873870093066,-0.08161838771183302
BRA,0.5605334563523565,0.4141345254883381
AUT,-0.6563487338227725,0.2009188152333514
CUB,-0.8814498761619437,-0.7005570804962344
CHI,-1.851539466313287,0.0714224230835077
UKR,-0.4814234413453201,-0.34698201331148065
UGA,-2.0753727392122374,-0.11751026569598257
QAT,-2.051707154938627,-0.11267867294608606
KUW,-2.091778635579063,-0.15304236022033976
IOA,-2.0175450450787635,-0.20272356113774181
UAE,-2.128629469428519,-0.18578283274042715
KSA,-2.0745526041039004,-0.04293931300813
DEN,4.044727018371744,0.7432508391725249
LTU,-1.8521797227048886,-0.049090574308280246
ARM,-1.9474091150491573,-0.3245567739541789
IND,-0.809195750197214,2.5489631526224192
JAM,-1.0497613224832585,-0.8097035342282038
TTO,-1.8459100237483466,-0.22078572934622984
BOT,-2.0680832451455164,-0.10563277288177265
TUN,-2.0248138871666677,-0.18183541548809692
KOR,-0.23486461513865536,0.12405519454340688
URU,-1.5116421888575993,-0.25621200649020653
CZE,1.6539721094810023,0.24431803932753726
SRB,-0.3075355371299309,-0.26888400988694083
BEL,1.5709989382066274,1.1585326716313065
MAR,-1.977067011635595,-0.23280160148501836
KEN,-1.4722685303746423,-0.6108292074130723
SYR,-2.0488557755921493,-0.12106633709141902
HAI,-1.9772397622397477,-0.17842654138606598
MAL,-2.0939236339420244,-0.17200500536202348
SVK,-1.4415768522059011,0.35075427825003264
BAH,-1.8015671616842712,-0.27838513088274
KAZ,-1.629183266583566,-0.5287036077187722
CHN,2.0834919525760345,-1.1080564206728512
PAR,-1.9490960041502958,-0.03249227994263135
POR,-1.7391154068173662,-0.08960651613714167
GUA,-2.0777414961124965,-0.11738662290768011
LUX,-2.085808931327648,-0.15179560235490278
TAN,-2.085734897804156,-0.10606100524096392
LIB,-2.0396143949765793,-0.16079384015255896
KGZ,-2.056189549939777,-0.21447736488933275
COL,-1.8911194854792641,-0.11725581597332406
LAT,-1.9269541825798402,-0.08521527053404383
AHO,-2.0623197545420906,-0.11587540636848416
GEO,-1.7222980548336644,-0.5420176752886847
CRO,-1.7684247578210985,-0.06727987079963767
TOG,-2.0855881717408717,-0.10599029349327045
ALG,-2.045356564201192,-0.18434296639253547
PER,-2.0500561289140387,-0.16856571596806066
SLO,-1.794292157023324,-0.03270005562423876
ZIM,-1.9796038732308137,0.0359434287063039
TPE,-2.0832418963615433,-0.13320333598441006
MGL,-1.8717776196802678,-0.39547972547905436
PUR,-2.066843124887531,-0.07787961204546964
IRL,-1.9721607881121839,-0.17146213783819556
VEN,-2.02777647316614,-0.11497914973815691
SEN,-2.0931321258421787,-0.06092301285633697
UZB,-1.9067811905723315,-0.3301612762796159
ISL,-2.0690154424664993,-0.08214921440129444
EST,-1.623022784373609,-0.24521969774913263
NAM,-2.0712974510563322,-0.12361688243896042
ISR,-2.010749026181153,-0.05552276035263251
VNM,-2.1108803296232246,-0.1918587410646381
ISV,-2.082980329813478,-0.09638266262551672
PRK,-1.8320918144757827,-0.5009960673875955
MKD,-2.0774704845871996,-0.12029644748863817
SUD,-2.073078643712537,-0.03189131260091452
BRN,-2.091331168620991,-0.2265524435090742
GRN,-2.0721723963589147,-0.10889997654211588
SRI,-2.0962544843836404,-0.18870471086859505
MDA,-2.031589521894494,-0.08996328835354005
CYP,-2.0656043801491135,-0.07395327262253762
PAN,-2.07132008655783,-0.09051359216832018
ZAM,-2.0926767258802186,-0.09034637571608851
MOZ,-2.0935085576923598,-0.19969884645302446
SUR,-2.074272260558259,-0.09804257022942021
BDI,-2.0815568066999495,-0.1640868652157769
ECU,-2.1023472690252727,-0.19864256567480718
CRC,-2.052772991598688,-0.041181884662957996
DJI,-2.1046507320631274,-0.12277720706247154
DOM,-2.0852804783605676,-0.14777461142443662
SGP,-2.0770040183686143,-0.07636360838811443
ERI,-2.0922562430897553,-0.22022477872399124
BAR,-2.082878866007757,-0.08927292652445569
CIV,-2.073849199657034,-0.0957763303086371
PHI,-2.0690900290495957,-0.14731599606669268
