name,code,medals
DEN,DEN,592
FIN,FIN,474
NOR,NOR,590
NED,NED,918
FRA,FRA,1627
ITA,ITA,1446
ESP,ESP,487
AZE,AZE,44
RUS,RUS,3187
BLR,BLR,124
CMR,CMR,22
USA,USA,5002
HUN,HUN,1123
GRE,GRE,255
AUS,AUS,1333
IRI,IRI,68
CAN,CAN,741
PAK,PAK,121
UZB,UZB,33
TJK,TJK,4
ETH,ETH,53
SUI,SUI,416
GER,GER,3126
SWE,SWE,1108
RSA,RSA,131
TUR,TUR,95
BUL,BUL,336
EGY,EGY,27
GBR,GBR,1985
JOR,JOR,1
JPN,JPN,850
ROU,ROU,651
PUR,PUR,9
MEX,MEX,110
GHA,GHA,23
MAR,MAR,23
NZL,NZL,227
ARG,ARG,274
CUB,CUB,409
URU,URU,63
POL,POL,538
CZE,CZE,413
NGR,NGR,99
BRA,BRA,475
AUT,AUT,170
LTU,LTU,61
INA,INA,41
CHI,CHI,32
UKR,UKR,188
UGA,UGA,7
SYR,SYR,5
QAT,QAT,5
KUW,KUW,2
IOA,IOA,5
KSA,KSA,6
UAE,UAE,2
CRO,CRO,138
ARM,ARM,16
SRB,SRB,532
NIG,NIG,2
IND,IND,190
BEL,BEL,455
ALG,ALG,17
JAM,JAM,157
TTO,TTO,37
COL,COL,28
LUX,LUX,6
BOT,BOT,1
TUN,TUN,13
KOR,KOR,552
PRK,PRK,65
CHN,CHN,913
GUY,GUY,1
ISR,ISR,9
KAZ,KAZ,70
GEO,GEO,32
KEN,KEN,106
ISL,ISL,17
HAI,HAI,7
MAL,MAL,16
IRQ,IRQ,1
SVK,SVK,42
BAH,BAH,40
PAR,PAR,17
MNE,MNE,14
IRL,IRL,35
POR,POR,41
GUA,GUA,1
TAN,TAN,2
LIB,LIB,4
KGZ,KGZ,3
LAT,LAT,20
AHO,AHO,1
VEN,VEN,15
THA,THA,30
TOG,TOG,1
PER,PER,15
EST,EST,43
SLO,SLO,30
TPE,TPE,49
ZIM,ZIM,22
MGL,MGL,26
MDA,MDA,8
CIV,CIV,3
FIJ,FIJ,13
SEN,SEN,1
DOM,DOM,7
PHI,PHI,10
SGP,SGP,9
NAM,NAM,4
BER,BER,1
VNM,VNM,4
ISV,ISV,1
MKD,MKD,1
SUD,SUD,1
BRN,BRN,3
GRN,GRN,2
SRI,SRI,2
MRI,MRI,1
KOS,KOS,1
CYP,CYP,1
PAN,PAN,3
ZAM,ZAM,2
MON,MON,1
MOZ,MOZ,2
SUR,SUR,2
AFG,AFG,2
BDI,BDI,2
GAB,GAB,1
ECU,ECU,2
CRC,CRC,4
DJI,DJI,1
ERI,ERI,1
BAR,BAR,1
TGA,TGA,1
